,Districts You Missed
0,achham
1,arghakhanchi
2,baglung
3,baitadi
4,bajhang
5,bajura
6,banke
7,bara
8,bardiya
9,bhojpur
10,chitwan
11,dadeldhura
12,dailekh
13,dang
14,darchula
15,dhading
16,dhankuta
17,dhanusa
18,dolakha
19,dolpa
20,doti
21,gorkha
22,gulmi
23,humla
24,ilam
25,jajarkot
26,jhapa
27,jumla
28,kailali
29,kalikot
30,kanchanpur
31,kapilvastu
32,kaski
33,kavrepalanchok
34,khotang
35,lamjung
36,mahottari
37,makwanpur
38,manang
39,morang
40,mugu
41,mustang
42,myagdi
43,nawalparasi
44,nuwakot
45,okhaldhunga
46,palpa
47,panchthar
48,parbat
49,parsa
50,pyuthan
51,ramechhap
52,rasuwa
53,rautahat
54,rolpa
55,rukum east
56,rukum west
57,rupandehi
58,salyan
59,sankhuwasabha
60,saptari
61,sarlahi
62,sindhuli
63,sindhupalchok
64,siraha
65,solukhumbu
66,sunsari
67,surkhet
68,syangja
69,tanahu
70,taplejung
71,terhathum
72,udayapur
73,nawalpur
